Vardas              Pavarde             Galutinis(vid.)     
Vardas296           Pavarde296          3.16              
Vardas297           Pavarde297          6.08              
Vardas298           Pavarde298          7                 
Vardas299           Pavarde299          7.68              
Vardas300           Pavarde300          2.84              
Vardas301           Pavarde301          8.56              
Vardas302           Pavarde302          8.64              
Vardas303           Pavarde303          5.96              
Vardas304           Pavarde304          5.48              
Vardas305           Pavarde305          7.24              
Vardas306           Pavarde306          4.24              
Vardas307           Pavarde307          2.56              
Vardas308           Pavarde308          1.92              
Vardas309           Pavarde309          5.28              
Vardas310           Pavarde310          6.88              
Vardas311           Pavarde311          2.48              
Vardas312           Pavarde312          8.72              
Vardas313           Pavarde313          6.56              
Vardas314           Pavarde314          2.68              
Vardas315           Pavarde315          3                 
Vardas316           Pavarde316          7.64              
Vardas317           Pavarde317          5.12              
Vardas318           Pavarde318          3.68              
Vardas319           Pavarde319          4.32              
Vardas320           Pavarde320          7.88              
Vardas321           Pavarde321          3.68              
Vardas322           Pavarde322          8.2               
Vardas323           Pavarde323          8                 
Vardas324           Pavarde324          4.12              
Vardas325           Pavarde325          1.6               
Vardas326           Pavarde326          1.04              
Vardas327           Pavarde327          3.16              
Vardas328           Pavarde328          5.68              
Vardas329           Pavarde329          6.96              
Vardas330           Pavarde330          5.96              
Vardas331           Pavarde331          4.88              
Vardas332           Pavarde332          1.04              
Vardas333           Pavarde333          5.56              
Vardas334           Pavarde334          2.68              
Vardas335           Pavarde335          2.24              
Vardas336           Pavarde336          5.16              
Vardas337           Pavarde337          6.28              
Vardas338           Pavarde338          7.6               
Vardas339           Pavarde339          3.92              
Vardas340           Pavarde340          2.72              
Vardas341           Pavarde341          7.2               
Vardas342           Pavarde342          4.84              
Vardas343           Pavarde343          4.04              
Vardas344           Pavarde344          2.6               
Vardas345           Pavarde345          6.56              
Vardas346           Pavarde346          7.08              
Vardas347           Pavarde347          7.64              
Vardas348           Pavarde348          4.76              
Vardas349           Pavarde349          2.04              
Vardas350           Pavarde350          6.48              
Vardas351           Pavarde351          2.92              
Vardas352           Pavarde352          2.48              
Vardas353           Pavarde353          4.32              
Vardas354           Pavarde354          3.68              
Vardas355           Pavarde355          4.04              
Vardas356           Pavarde356          7.2               
Vardas357           Pavarde357          5.32              
Vardas358           Pavarde358          6.04              
Vardas359           Pavarde359          6.08              
Vardas360           Pavarde360          4.24              
Vardas361           Pavarde361          6.28              
Vardas362           Pavarde362          2.36              
Vardas363           Pavarde363          7.64              
Vardas364           Pavarde364          1.36              
Vardas365           Pavarde365          7.16              
Vardas366           Pavarde366          4.56              
Vardas367           Pavarde367          7.24              
Vardas368           Pavarde368          5.12              
Vardas369           Pavarde369          5.64              
Vardas370           Pavarde370          6.24              
Vardas371           Pavarde371          2.48              
Vardas372           Pavarde372          7.56              
Vardas373           Pavarde373          8                 
Vardas374           Pavarde374          6.8               
Vardas375           Pavarde375          6.28              
Vardas376           Pavarde376          4.64              
Vardas377           Pavarde377          6.12              
Vardas378           Pavarde378          3.64              
Vardas379           Pavarde379          5.16              
Vardas380           Pavarde380          5.76              
Vardas381           Pavarde381          1.72              
Vardas382           Pavarde382          7                 
Vardas383           Pavarde383          4.76              
Vardas384           Pavarde384          7.16              
Vardas385           Pavarde385          6.16              
Vardas386           Pavarde386          3.2               
Vardas387           Pavarde387          5.16              
Vardas388           Pavarde388          4.12              
Vardas389           Pavarde389          4.84              
Vardas390           Pavarde390          7.8               
Vardas391           Pavarde391          4.36              
Vardas392           Pavarde392          3.88              
Vardas393           Pavarde393          3.52              
Vardas394           Pavarde394          7.16              
Vardas395           Pavarde395          3.16              
Vardas396           Pavarde396          4.2               
Vardas397           Pavarde397          3.64              
Vardas398           Pavarde398          3.04              
Vardas399           Pavarde399          2.32              
Vardas400           Pavarde400          5.68              
Vardas401           Pavarde401          7.32              
Vardas402           Pavarde402          7.44              
Vardas403           Pavarde403          8.24              
Vardas404           Pavarde404          6.92              
Vardas405           Pavarde405          2.24              
Vardas406           Pavarde406          3.4               
Vardas407           Pavarde407          6.8               
Vardas408           Pavarde408          6.16              
Vardas409           Pavarde409          4.72              
Vardas410           Pavarde410          7.16              
Vardas411           Pavarde411          2.76              
Vardas412           Pavarde412          4.44              
Vardas413           Pavarde413          7.36              
Vardas414           Pavarde414          6.96              
Vardas415           Pavarde415          6.6               
Vardas416           Pavarde416          3.24              
Vardas417           Pavarde417          2.24              
Vardas418           Pavarde418          2.2               
Vardas419           Pavarde419          7.4               
Vardas420           Pavarde420          4.88              
Vardas421           Pavarde421          3.68              
Vardas422           Pavarde422          6.4               
Vardas423           Pavarde423          4.76              
Vardas424           Pavarde424          7.96              
Vardas425           Pavarde425          5.96              
Vardas426           Pavarde426          7.44              
Vardas427           Pavarde427          7.24              
Vardas428           Pavarde428          5.12              
Vardas429           Pavarde429          2.88              
Vardas430           Pavarde430          7.72              
Vardas431           Pavarde431          2.76              
Vardas432           Pavarde432          6.92              
Vardas433           Pavarde433          5.96              
Vardas434           Pavarde434          1.68              
Vardas435           Pavarde435          4.16              
Vardas436           Pavarde436          5.52              
Vardas437           Pavarde437          6                 
Vardas438           Pavarde438          7.04              
Vardas439           Pavarde439          5.68              
Vardas440           Pavarde440          6.2               
Vardas441           Pavarde441          0.72              
Vardas442           Pavarde442          2.48              
Vardas443           Pavarde443          8.64              
Vardas444           Pavarde444          1.52              
Vardas445           Pavarde445          6.76              
Vardas446           Pavarde446          5.12              
Vardas447           Pavarde447          6.12              
Vardas448           Pavarde448          5.12              
Vardas449           Pavarde449          7                 
Vardas450           Pavarde450          7.76              
Vardas451           Pavarde451          3.6               
Vardas452           Pavarde452          6.88              
Vardas453           Pavarde453          6.2               
Vardas454           Pavarde454          5.8               
Vardas455           Pavarde455          3.56              
Vardas456           Pavarde456          7.44              
Vardas457           Pavarde457          1.76              
Vardas458           Pavarde458          4.04              
Vardas459           Pavarde459          7.44              
Vardas460           Pavarde460          4.76              
Vardas461           Pavarde461          4.88              
Vardas462           Pavarde462          7.2               
Vardas463           Pavarde463          7.08              
Vardas464           Pavarde464          2.44              
Vardas465           Pavarde465          2.2               
Vardas466           Pavarde466          7.4               
Vardas467           Pavarde467          3.44              
Vardas468           Pavarde468          5.6               
Vardas469           Pavarde469          7.32              
Vardas470           Pavarde470          4.48              
Vardas471           Pavarde471          7                 
Vardas472           Pavarde472          3.64              
Vardas473           Pavarde473          6.44              
Vardas474           Pavarde474          4.28              
Vardas475           Pavarde475          7.24              
Vardas476           Pavarde476          5.36              
Vardas477           Pavarde477          6.8               
Vardas478           Pavarde478          3.08              
Vardas479           Pavarde479          2.28              
Vardas480           Pavarde480          3.16              
Vardas481           Pavarde481          4.2               
Vardas482           Pavarde482          3.08              
Vardas483           Pavarde483          4.84              
Vardas484           Pavarde484          7.2               
Vardas485           Pavarde485          6.88              
Vardas486           Pavarde486          7.36              
Vardas487           Pavarde487          5.68              
Vardas488           Pavarde488          4.92              
Vardas489           Pavarde489          8.2               
Vardas490           Pavarde490          4                 
Vardas491           Pavarde491          4.12              
Vardas492           Pavarde492          8.8               
Vardas493           Pavarde493          7.44              
Vardas494           Pavarde494          7                 
Vardas495           Pavarde495          1.36              
Vardas496           Pavarde496          2.36              
Vardas497           Pavarde497          4.76              
Vardas498           Pavarde498          1.8               
Vardas499           Pavarde499          2.8               
Vardas500           Pavarde500          7.92              
Vardas501           Pavarde501          6.56              
Vardas502           Pavarde502          5.72              
Vardas503           Pavarde503          3.28              
Vardas504           Pavarde504          6.12              
Vardas505           Pavarde505          9.12              
Vardas506           Pavarde506          5.44              
Vardas507           Pavarde507          7.28              
Vardas508           Pavarde508          7.24              
Vardas509           Pavarde509          4.64              
Vardas510           Pavarde510          7.76              
Vardas511           Pavarde511          3.44              
Vardas512           Pavarde512          2.48              
Vardas513           Pavarde513          5.16              
Vardas514           Pavarde514          8.2               
Vardas515           Pavarde515          4.72              
Vardas516           Pavarde516          5.96              
Vardas517           Pavarde517          2.76              
Vardas518           Pavarde518          6.88              
Vardas519           Pavarde519          2.64              
Vardas520           Pavarde520          1.96              
Vardas521           Pavarde521          2.72              
Vardas522           Pavarde522          5.4               
Vardas523           Pavarde523          7.28              
Vardas524           Pavarde524          7.32              
Vardas525           Pavarde525          6.72              
Vardas526           Pavarde526          4.72              
Vardas527           Pavarde527          6.04              
Vardas528           Pavarde528          3.12              
Vardas529           Pavarde529          2.36              
Vardas530           Pavarde530          4.44              
Vardas531           Pavarde531          6.2               
Vardas532           Pavarde532          6.32              
Vardas533           Pavarde533          3.56              
Vardas534           Pavarde534          2.68              
Vardas535           Pavarde535          2.84              
Vardas536           Pavarde536          2.28              
Vardas537           Pavarde537          6.76              
Vardas538           Pavarde538          7.48              
Vardas539           Pavarde539          8.12              
Vardas540           Pavarde540          4.32              
Vardas541           Pavarde541          6.52              
Vardas542           Pavarde542          2.08              
Vardas543           Pavarde543          3.36              
Vardas544           Pavarde544          7.68              
Vardas545           Pavarde545          2.12              
Vardas546           Pavarde546          6.28              
Vardas547           Pavarde547          2.2               
Vardas548           Pavarde548          6.36              
Vardas549           Pavarde549          3.4               
Vardas550           Pavarde550          4.32              
Vardas551           Pavarde551          4.32              
Vardas552           Pavarde552          7.76              
Vardas553           Pavarde553          3.6               
Vardas554           Pavarde554          6.52              
Vardas555           Pavarde555          8.2               
Vardas556           Pavarde556          4.72              
Vardas557           Pavarde557          5.84              
Vardas558           Pavarde558          2                 
Vardas559           Pavarde559          6.44              
Vardas560           Pavarde560          6.08              
Vardas561           Pavarde561          8.56              
Vardas562           Pavarde562          2                 
Vardas563           Pavarde563          7.84              
Vardas564           Pavarde564          6.92              
Vardas565           Pavarde565          5.72              
Vardas566           Pavarde566          5.04              
Vardas567           Pavarde567          7.68              
Vardas568           Pavarde568          7.2               
Vardas569           Pavarde569          6.2               
Vardas570           Pavarde570          7.56              
Vardas571           Pavarde571          2.4               
Vardas572           Pavarde572          3.12              
Vardas573           Pavarde573          5.36              
Vardas574           Pavarde574          5.84              
Vardas575           Pavarde575          6.8               
Vardas576           Pavarde576          4.12              
Vardas577           Pavarde577          3.56              
Vardas578           Pavarde578          6.36              
Vardas579           Pavarde579          3                 
Vardas580           Pavarde580          5.88              
Vardas581           Pavarde581          4.92              
Vardas582           Pavarde582          5.92              
Vardas583           Pavarde583          6.44              
Vardas584           Pavarde584          5.28              
Vardas585           Pavarde585          7.92              
Vardas586           Pavarde586          5.88              
Vardas587           Pavarde587          2.08              
Vardas588           Pavarde588          7.24              
Vardas589           Pavarde589          5.64              
Vardas590           Pavarde590          2.24              
Vardas591           Pavarde591          7.28              
Vardas592           Pavarde592          5.96              
Vardas593           Pavarde593          6.52              
Vardas594           Pavarde594          7.8               
Vardas595           Pavarde595          4.28              
Vardas596           Pavarde596          6.72              
Vardas597           Pavarde597          4.72              
Vardas598           Pavarde598          4.48              
Vardas599           Pavarde599          6.08              
Vardas600           Pavarde600          5.96              
Vardas601           Pavarde601          2.96              
Vardas602           Pavarde602          3                 
Vardas603           Pavarde603          7.08              
Vardas604           Pavarde604          7.6               
Vardas605           Pavarde605          4.68              
Vardas606           Pavarde606          2.2               
Vardas607           Pavarde607          2.72              
Vardas608           Pavarde608          8                 
Vardas609           Pavarde609          4.92              
Vardas610           Pavarde610          6                 
Vardas611           Pavarde611          7.92              
Vardas612           Pavarde612          4.4               
Vardas613           Pavarde613          4.64              
Vardas614           Pavarde614          6.12              
Vardas615           Pavarde615          7.72              
Vardas616           Pavarde616          3.52              
Vardas617           Pavarde617          6.44              
Vardas618           Pavarde618          7.08              
Vardas619           Pavarde619          5.56              
Vardas620           Pavarde620          4.6               
Vardas621           Pavarde621          5.4               
Vardas622           Pavarde622          3.52              
Vardas623           Pavarde623          8.88              
Vardas624           Pavarde624          5.96              
Vardas625           Pavarde625          7.6               
Vardas626           Pavarde626          4.92              
Vardas627           Pavarde627          6.2               
Vardas628           Pavarde628          6.48              
Vardas629           Pavarde629          7.36              
Vardas630           Pavarde630          2.76              
Vardas631           Pavarde631          7.08              
Vardas632           Pavarde632          2.16              
Vardas633           Pavarde633          2.88              
Vardas634           Pavarde634          8.32              
Vardas635           Pavarde635          2.92              
Vardas636           Pavarde636          8.04              
Vardas637           Pavarde637          7.12              
Vardas638           Pavarde638          5                 
Vardas639           Pavarde639          2.56              
Vardas640           Pavarde640          5.68              
Vardas641           Pavarde641          7.52              
Vardas642           Pavarde642          7.24              
Vardas643           Pavarde643          7.4               
Vardas644           Pavarde644          4.32              
Vardas645           Pavarde645          6.6               
Vardas646           Pavarde646          6.6               
Vardas647           Pavarde647          4.4               
Vardas648           Pavarde648          4.8               
Vardas649           Pavarde649          8.88              
Vardas650           Pavarde650          4.48              
Vardas651           Pavarde651          5.68              
Vardas652           Pavarde652          3.48              
Vardas653           Pavarde653          3.12              
Vardas654           Pavarde654          6.24              
Vardas655           Pavarde655          4                 
Vardas656           Pavarde656          4.6               
Vardas657           Pavarde657          4.88              
Vardas658           Pavarde658          3.16              
Vardas659           Pavarde659          5                 
Vardas660           Pavarde660          7.84              
Vardas661           Pavarde661          5.72              
Vardas662           Pavarde662          6.64              
Vardas663           Pavarde663          7.52              
Vardas664           Pavarde664          6.96              
Vardas665           Pavarde665          3.64              
Vardas666           Pavarde666          7.84              
Vardas667           Pavarde667          4.24              
Vardas668           Pavarde668          3.88              
Vardas669           Pavarde669          2.6               
Vardas670           Pavarde670          2.44              
Vardas671           Pavarde671          2.64              
Vardas672           Pavarde672          7.76              
Vardas673           Pavarde673          2.24              
Vardas674           Pavarde674          6.72              
Vardas675           Pavarde675          3.72              
Vardas676           Pavarde676          6.52              
Vardas677           Pavarde677          6.08              
Vardas678           Pavarde678          4.44              
Vardas679           Pavarde679          2.24              
Vardas680           Pavarde680          7.48              
Vardas681           Pavarde681          6.16              
Vardas682           Pavarde682          3.52              
Vardas683           Pavarde683          4.88              
Vardas684           Pavarde684          2.68              
Vardas685           Pavarde685          9.44              
Vardas686           Pavarde686          6.4               
Vardas687           Pavarde687          8.48              
Vardas688           Pavarde688          6.92              
Vardas689           Pavarde689          6.64              
Vardas690           Pavarde690          3.96              
Vardas691           Pavarde691          6                 
Vardas692           Pavarde692          8.88              
Vardas693           Pavarde693          5.48              
Vardas694           Pavarde694          6.08              
Vardas695           Pavarde695          6.36              
Vardas696           Pavarde696          3.72              
Vardas697           Pavarde697          6.96              
Vardas698           Pavarde698          1.92              
Vardas699           Pavarde699          1.2               
Vardas700           Pavarde700          5.76              
Vardas701           Pavarde701          3.68              
Vardas702           Pavarde702          5.08              
Vardas703           Pavarde703          2                 
Vardas704           Pavarde704          5.16              
Vardas705           Pavarde705          3.08              
Vardas706           Pavarde706          8.56              
Vardas707           Pavarde707          5.04              
Vardas708           Pavarde708          6.16              
Vardas709           Pavarde709          7.92              
Vardas710           Pavarde710          7.64              
Vardas711           Pavarde711          5.8               
Vardas712           Pavarde712          5.64              
Vardas713           Pavarde713          7.32              
Vardas714           Pavarde714          6.56              
Vardas715           Pavarde715          7.52              
Vardas716           Pavarde716          5.48              
Vardas717           Pavarde717          3.84              
Vardas718           Pavarde718          2.68              
Vardas719           Pavarde719          6.12              
Vardas720           Pavarde720          1.52              
Vardas721           Pavarde721          6.24              
Vardas722           Pavarde722          2.96              
Vardas723           Pavarde723          5.44              
Vardas724           Pavarde724          4.72              
Vardas725           Pavarde725          3.52              
Vardas726           Pavarde726          5.08              
Vardas727           Pavarde727          7.32              
Vardas728           Pavarde728          5                 
Vardas729           Pavarde729          3.44              
Vardas730           Pavarde730          7.8               
Vardas731           Pavarde731          5.64              
Vardas732           Pavarde732          7.4               
Vardas733           Pavarde733          8.48              
Vardas734           Pavarde734          3.04              
Vardas735           Pavarde735          4.32              
Vardas736           Pavarde736          3.4               
Vardas737           Pavarde737          4.52              
Vardas738           Pavarde738          5                 
Vardas739           Pavarde739          2.36              
Vardas740           Pavarde740          6.92              
Vardas741           Pavarde741          5.36              
Vardas742           Pavarde742          3.52              
Vardas743           Pavarde743          4.8               
Vardas744           Pavarde744          3.2               
Vardas745           Pavarde745          2.36              
Vardas746           Pavarde746          3.04              
Vardas747           Pavarde747          3.04              
Vardas748           Pavarde748          5.8               
Vardas749           Pavarde749          2.52              
Vardas750           Pavarde750          5.72              
Vardas751           Pavarde751          4.4               
Vardas752           Pavarde752          3.52              
Vardas753           Pavarde753          4.72              
Vardas754           Pavarde754          3.64              
Vardas755           Pavarde755          3.52              
Vardas756           Pavarde756          5.96              
Vardas757           Pavarde757          6.52              
Vardas758           Pavarde758          2.56              
Vardas759           Pavarde759          6.56              
Vardas760           Pavarde760          8.32              
Vardas761           Pavarde761          1.6               
Vardas762           Pavarde762          5.28              
