Vardas              Pavarde             Galutinis(vid.)/  Galutinis(med.)
Vardas159           Pavarde159          4.2               5
Vardas160           Pavarde160          1.2               4
Vardas161           Pavarde161          2.4               6
Vardas162           Pavarde162          2.4               6
Vardas163           Pavarde163          5.4               7
Vardas164           Pavarde164          6                 2
Vardas165           Pavarde165          1.8               7
Vardas166           Pavarde166          3                 6
Vardas167           Pavarde167          3                 6
Vardas168           Pavarde168          0.6               5
Vardas169           Pavarde169          6                 6
Vardas170           Pavarde170          4.8               4
Vardas171           Pavarde171          2.4               5
Vardas172           Pavarde172          0.6               6
Vardas173           Pavarde173          5.4               2
Vardas174           Pavarde174          3                 4
Vardas175           Pavarde175          4.2               6
Vardas176           Pavarde176          3.6               5
Vardas177           Pavarde177          5.4               4
Vardas178           Pavarde178          4.8               7
Vardas179           Pavarde179          5.4               6
Vardas180           Pavarde180          3                 2
Vardas181           Pavarde181          4.2               5
Vardas182           Pavarde182          0.6               6
Vardas183           Pavarde183          0.6               4
Vardas184           Pavarde184          0.6               5
Vardas185           Pavarde185          4.8               5
Vardas186           Pavarde186          4.8               6
Vardas187           Pavarde187          3                 6
Vardas188           Pavarde188          6                 3
Vardas189           Pavarde189          2.4               5
Vardas190           Pavarde190          2.4               5
Vardas191           Pavarde191          0.6               6
Vardas192           Pavarde192          3                 3
Vardas193           Pavarde193          3.6               5
Vardas194           Pavarde194          4.2               7
Vardas195           Pavarde195          6                 5
Vardas196           Pavarde196          0.6               5
Vardas197           Pavarde197          1.2               5
Vardas198           Pavarde198          1.8               4
Vardas199           Pavarde199          3                 6
Vardas200           Pavarde200          4.8               5
Vardas201           Pavarde201          0.6               4
Vardas202           Pavarde202          4.2               6
Vardas203           Pavarde203          1.8               6
Vardas204           Pavarde204          3                 5
Vardas205           Pavarde205          2.4               6
Vardas206           Pavarde206          1.2               6
Vardas207           Pavarde207          1.2               6
Vardas208           Pavarde208          2.4               3
Vardas209           Pavarde209          5.4               3
Vardas210           Pavarde210          3                 5
Vardas211           Pavarde211          1.8               6
Vardas212           Pavarde212          1.2               4
Vardas213           Pavarde213          4.2               4
Vardas214           Pavarde214          3.6               5
Vardas215           Pavarde215          2.4               5
Vardas216           Pavarde216          1.2               3
Vardas217           Pavarde217          1.8               5
Vardas218           Pavarde218          1.2               5
Vardas219           Pavarde219          3                 4
Vardas220           Pavarde220          6                 6
Vardas221           Pavarde221          5.4               5
Vardas222           Pavarde222          1.2               3
Vardas223           Pavarde223          3                 7
Vardas224           Pavarde224          5.4               5
Vardas225           Pavarde225          6                 5
Vardas226           Pavarde226          4.2               3
Vardas227           Pavarde227          0.6               3
Vardas228           Pavarde228          4.8               4
Vardas229           Pavarde229          1.8               4
Vardas230           Pavarde230          0.6               5
Vardas231           Pavarde231          6                 3
Vardas232           Pavarde232          4.2               5
Vardas233           Pavarde233          1.8               3
Vardas234           Pavarde234          4.2               5
Vardas235           Pavarde235          5.4               5
Vardas236           Pavarde236          5.4               3
Vardas237           Pavarde237          4.8               3
Vardas238           Pavarde238          1.2               6
Vardas239           Pavarde239          4.2               3
Vardas240           Pavarde240          1.8               6
Vardas241           Pavarde241          6                 5
Vardas242           Pavarde242          1.2               7
Vardas243           Pavarde243          6                 7
Vardas244           Pavarde244          1.8               4
Vardas245           Pavarde245          2.4               6
Vardas246           Pavarde246          2.4               6
Vardas247           Pavarde247          4.8               5
Vardas248           Pavarde248          1.8               5
Vardas249           Pavarde249          4.2               5
Vardas250           Pavarde250          6                 4
Vardas251           Pavarde251          1.8               3
Vardas252           Pavarde252          3.6               6
Vardas253           Pavarde253          1.2               5
Vardas254           Pavarde254          4.2               5
Vardas255           Pavarde255          0.6               6
Vardas256           Pavarde256          4.2               7
Vardas257           Pavarde257          4.2               3
Vardas258           Pavarde258          4.8               5
Vardas259           Pavarde259          4.2               7
Vardas260           Pavarde260          4.8               5
Vardas261           Pavarde261          6                 6
Vardas262           Pavarde262          6                 5
Vardas263           Pavarde263          0.6               4
Vardas264           Pavarde264          2.4               4
Vardas265           Pavarde265          3                 7
Vardas266           Pavarde266          3                 6
Vardas267           Pavarde267          6                 5
Vardas268           Pavarde268          3                 4
Vardas269           Pavarde269          0.6               3
Vardas270           Pavarde270          6                 4
Vardas271           Pavarde271          6                 6
Vardas272           Pavarde272          5.4               5
Vardas273           Pavarde273          1.2               6
Vardas274           Pavarde274          3                 4
Vardas275           Pavarde275          4.2               7
Vardas276           Pavarde276          4.2               4
Vardas277           Pavarde277          4.2               6
Vardas278           Pavarde278          1.2               4
Vardas279           Pavarde279          6                 5
Vardas280           Pavarde280          1.2               5
Vardas281           Pavarde281          5.4               4
Vardas282           Pavarde282          4.2               5
Vardas283           Pavarde283          6                 6
Vardas284           Pavarde284          1.2               7
Vardas285           Pavarde285          4.8               6
Vardas286           Pavarde286          1.2               6
Vardas287           Pavarde287          1.8               7
Vardas288           Pavarde288          4.2               5
Vardas289           Pavarde289          5.4               4
Vardas290           Pavarde290          1.8               4
Vardas291           Pavarde291          1.2               4
Vardas292           Pavarde292          1.2               5
Vardas293           Pavarde293          4.2               5
Vardas294           Pavarde294          5.4               5
Vardas295           Pavarde295          0.6               6
Vardas296           Pavarde296          3                 3
Vardas297           Pavarde297          2.4               6
Vardas298           Pavarde298          1.8               7
Vardas299           Pavarde299          4.8               4
Vardas300           Pavarde300          2.4               6
Vardas301           Pavarde301          2.4               5
Vardas302           Pavarde302          4.2               7
Vardas303           Pavarde303          1.8               5
Vardas304           Pavarde304          0.6               5
Vardas305           Pavarde305          2.4               4
Vardas306           Pavarde306          4.8               5
Vardas307           Pavarde307          0.6               4
Vardas308           Pavarde308          5.4               7
Vardas309           Pavarde309          6                 4
Vardas310           Pavarde310          6                 6
Vardas311           Pavarde311          3                 3
Vardas312           Pavarde312          4.2               4
Vardas313           Pavarde313          3.6               4
Vardas314           Pavarde314          4.2               5
Vardas315           Pavarde315          4.8               5
Vardas316           Pavarde316          0.6               6
Vardas317           Pavarde317          6                 5
Vardas318           Pavarde318          2.4               6
Vardas319           Pavarde319          3                 4
Vardas320           Pavarde320          2.4               5
Vardas321           Pavarde321          2.4               3
Vardas322           Pavarde322          3                 3
Vardas323           Pavarde323          3.6               3
Vardas324           Pavarde324          5.4               5
Vardas325           Pavarde325          4.2               4
Vardas326           Pavarde326          5.4               6
Vardas327           Pavarde327          2.4               6
Vardas328           Pavarde328          3                 5
Vardas329           Pavarde329          4.8               5
Vardas330           Pavarde330          6                 3
Vardas331           Pavarde331          3.6               5
Vardas332           Pavarde332          3.6               6
Vardas333           Pavarde333          2.4               6
Vardas334           Pavarde334          1.2               5
Vardas335           Pavarde335          0.6               5
Vardas336           Pavarde336          4.8               3
Vardas337           Pavarde337          1.8               6
Vardas338           Pavarde338          6                 4
Vardas339           Pavarde339          2.4               6
Vardas340           Pavarde340          6                 3
Vardas341           Pavarde341          3.6               4
Vardas342           Pavarde342          4.2               3
Vardas343           Pavarde343          0.6               3
Vardas344           Pavarde344          6                 3
Vardas345           Pavarde345          1.8               4
Vardas346           Pavarde346          3                 5
Vardas347           Pavarde347          3                 6
Vardas348           Pavarde348          6                 7
Vardas349           Pavarde349          3.6               7
Vardas350           Pavarde350          1.8               6
Vardas351           Pavarde351          3.6               5
Vardas352           Pavarde352          4.2               6
Vardas353           Pavarde353          5.4               5
Vardas354           Pavarde354          1.2               4
Vardas355           Pavarde355          3.6               4
Vardas356           Pavarde356          0.6               5
Vardas357           Pavarde357          2.4               5
Vardas358           Pavarde358          3                 3
Vardas359           Pavarde359          6                 6
Vardas360           Pavarde360          1.8               4
Vardas361           Pavarde361          5.4               5
Vardas362           Pavarde362          2.4               2
Vardas363           Pavarde363          5.4               2
Vardas364           Pavarde364          5.4               4
Vardas365           Pavarde365          0.6               4
Vardas366           Pavarde366          1.8               3
Vardas367           Pavarde367          0.6               2
Vardas368           Pavarde368          3.6               5
Vardas369           Pavarde369          1.2               4
Vardas370           Pavarde370          0.6               6
Vardas371           Pavarde371          1.2               5
Vardas372           Pavarde372          1.2               5
Vardas373           Pavarde373          2.4               6
Vardas374           Pavarde374          0.6               5
Vardas375           Pavarde375          2.4               4
Vardas376           Pavarde376          3.6               7
Vardas377           Pavarde377          5.4               4
Vardas378           Pavarde378          1.8               6
Vardas379           Pavarde379          0.6               4
Vardas380           Pavarde380          1.2               6
Vardas381           Pavarde381          2.4               6
Vardas382           Pavarde382          1.8               6
Vardas383           Pavarde383          3                 7
Vardas384           Pavarde384          6                 4
Vardas385           Pavarde385          6                 5
Vardas386           Pavarde386          1.8               5
Vardas387           Pavarde387          4.8               7
Vardas388           Pavarde388          0.6               7
Vardas389           Pavarde389          1.8               5
Vardas390           Pavarde390          2.4               5
Vardas391           Pavarde391          2.4               4
Vardas392           Pavarde392          3.6               5
Vardas393           Pavarde393          1.8               6
Vardas394           Pavarde394          0.6               5
Vardas395           Pavarde395          2.4               5
Vardas396           Pavarde396          1.8               6
Vardas397           Pavarde397          2.4               7
Vardas398           Pavarde398          6                 2
Vardas399           Pavarde399          4.2               5
Vardas400           Pavarde400          0.6               5
Vardas401           Pavarde401          3.6               6
Vardas402           Pavarde402          6                 4
Vardas403           Pavarde403          0.6               3
Vardas404           Pavarde404          5.4               7
Vardas405           Pavarde405          1.8               6
Vardas406           Pavarde406          1.2               4
Vardas407           Pavarde407          6                 5
Vardas408           Pavarde408          1.8               6
Vardas409           Pavarde409          0.6               5
Vardas410           Pavarde410          6                 6
Vardas411           Pavarde411          4.2               4
Vardas412           Pavarde412          6                 4
Vardas413           Pavarde413          4.2               8
Vardas414           Pavarde414          1.8               5
Vardas415           Pavarde415          1.2               4
Vardas416           Pavarde416          3                 5
Vardas417           Pavarde417          3.6               6
Vardas418           Pavarde418          1.2               6
Vardas419           Pavarde419          3.6               6
Vardas420           Pavarde420          4.8               6
Vardas421           Pavarde421          4.8               5
Vardas422           Pavarde422          0.6               5
Vardas423           Pavarde423          6                 2
Vardas424           Pavarde424          1.2               5
Vardas425           Pavarde425          3.6               4
Vardas426           Pavarde426          1.2               5
Vardas427           Pavarde427          6                 5
Vardas428           Pavarde428          0.6               4
Vardas429           Pavarde429          0.6               7
Vardas430           Pavarde430          3.6               4
Vardas431           Pavarde431          4.2               2
Vardas432           Pavarde432          1.8               5
Vardas433           Pavarde433          6                 6
Vardas434           Pavarde434          0.6               4
Vardas435           Pavarde435          4.2               2
Vardas436           Pavarde436          4.2               6
Vardas437           Pavarde437          4.2               7
Vardas438           Pavarde438          2.4               4
Vardas439           Pavarde439          3                 5
Vardas440           Pavarde440          3.6               7
Vardas441           Pavarde441          4.8               4
Vardas442           Pavarde442          6                 4
Vardas443           Pavarde443          1.2               6
Vardas444           Pavarde444          6                 5
Vardas445           Pavarde445          0.6               5
Vardas446           Pavarde446          2.4               6
Vardas447           Pavarde447          2.4               5
Vardas448           Pavarde448          3                 6
Vardas449           Pavarde449          2.4               8
Vardas450           Pavarde450          5.4               4
Vardas451           Pavarde451          6                 5
Vardas452           Pavarde452          6                 5
Vardas453           Pavarde453          6                 5
Vardas454           Pavarde454          1.8               6
Vardas455           Pavarde455          4.8               4
Vardas456           Pavarde456          0.6               7
Vardas457           Pavarde457          1.8               7
Vardas458           Pavarde458          1.8               5
Vardas459           Pavarde459          1.8               5
Vardas460           Pavarde460          1.8               4
Vardas461           Pavarde461          1.2               4
Vardas462           Pavarde462          2.4               5
Vardas463           Pavarde463          6                 3
Vardas464           Pavarde464          1.8               5
Vardas465           Pavarde465          5.4               6
Vardas466           Pavarde466          5.4               5
Vardas467           Pavarde467          2.4               6
Vardas468           Pavarde468          5.4               3
Vardas469           Pavarde469          6                 6
Vardas470           Pavarde470          4.2               5
Vardas471           Pavarde471          2.4               5
Vardas472           Pavarde472          4.2               6
Vardas473           Pavarde473          6                 5
Vardas474           Pavarde474          3.6               6
Vardas475           Pavarde475          6                 6
Vardas476           Pavarde476          0.6               6
Vardas477           Pavarde477          3                 6
Vardas478           Pavarde478          0.6               5
Vardas479           Pavarde479          1.2               5
Vardas480           Pavarde480          1.2               5
Vardas481           Pavarde481          3                 6
Vardas482           Pavarde482          4.8               7
Vardas483           Pavarde483          3.6               6
Vardas484           Pavarde484          6                 5
Vardas485           Pavarde485          5.4               7
Vardas486           Pavarde486          3                 5
Vardas487           Pavarde487          6                 4
Vardas488           Pavarde488          3                 7
Vardas489           Pavarde489          3.6               4
Vardas490           Pavarde490          1.8               5
Vardas491           Pavarde491          4.2               6
Vardas492           Pavarde492          3                 4
Vardas493           Pavarde493          3.6               6
Vardas494           Pavarde494          0.6               5
Vardas495           Pavarde495          3                 7
Vardas496           Pavarde496          3                 6
Vardas497           Pavarde497          0.6               7
Vardas498           Pavarde498          6                 4
Vardas499           Pavarde499          3.6               3
Vardas500           Pavarde500          5.4               7
Vardas501           Pavarde501          3.6               7
Vardas502           Pavarde502          4.8               5
Vardas503           Pavarde503          5.4               4
Vardas504           Pavarde504          0.6               4
Vardas505           Pavarde505          4.2               7
Vardas506           Pavarde506          1.8               5
Vardas507           Pavarde507          6                 5
Vardas508           Pavarde508          3.6               2
Vardas509           Pavarde509          2.4               5
Vardas510           Pavarde510          4.8               5
Vardas511           Pavarde511          6                 4
Vardas512           Pavarde512          6                 4
Vardas513           Pavarde513          2.4               7
Vardas514           Pavarde514          4.8               4
Vardas515           Pavarde515          1.8               6
Vardas516           Pavarde516          3.6               4
Vardas517           Pavarde517          4.2               3
Vardas518           Pavarde518          2.4               5
Vardas519           Pavarde519          0.6               7
Vardas520           Pavarde520          4.2               6
Vardas521           Pavarde521          1.2               6
Vardas522           Pavarde522          4.2               5
Vardas523           Pavarde523          6                 6
Vardas524           Pavarde524          3.6               4
Vardas525           Pavarde525          6                 6
Vardas526           Pavarde526          3.6               5
Vardas527           Pavarde527          3.6               7
Vardas528           Pavarde528          4.8               4
Vardas529           Pavarde529          3.6               4
Vardas530           Pavarde530          3                 5
Vardas531           Pavarde531          1.2               3
Vardas532           Pavarde532          2.4               3
Vardas533           Pavarde533          4.2               5
Vardas534           Pavarde534          4.8               5
Vardas535           Pavarde535          4.2               5
Vardas536           Pavarde536          6                 4
Vardas537           Pavarde537          0.6               4
Vardas538           Pavarde538          1.2               3
Vardas539           Pavarde539          6                 5
Vardas540           Pavarde540          6                 7
Vardas541           Pavarde541          3                 7
Vardas542           Pavarde542          6                 5
Vardas543           Pavarde543          3                 5
Vardas544           Pavarde544          3                 3
Vardas545           Pavarde545          0.6               4
Vardas546           Pavarde546          1.8               6
Vardas547           Pavarde547          4.8               4
Vardas548           Pavarde548          1.8               6
Vardas549           Pavarde549          1.8               2
Vardas550           Pavarde550          4.2               5
Vardas551           Pavarde551          3.6               6
Vardas552           Pavarde552          1.8               5
Vardas553           Pavarde553          1.2               7
Vardas554           Pavarde554          3.6               4
Vardas555           Pavarde555          5.4               6
Vardas556           Pavarde556          0.6               4
Vardas557           Pavarde557          5.4               5
Vardas558           Pavarde558          0.6               5
Vardas559           Pavarde559          4.2               4
Vardas560           Pavarde560          6                 5
Vardas561           Pavarde561          6                 3
Vardas562           Pavarde562          4.2               5
Vardas563           Pavarde563          5.4               4
Vardas564           Pavarde564          1.2               5
Vardas565           Pavarde565          1.8               6
Vardas566           Pavarde566          0.6               3
Vardas567           Pavarde567          1.2               5
Vardas568           Pavarde568          4.2               5
Vardas569           Pavarde569          3                 6
Vardas570           Pavarde570          6                 6
Vardas571           Pavarde571          2.4               6
Vardas572           Pavarde572          4.8               4
Vardas573           Pavarde573          5.4               5
Vardas574           Pavarde574          1.2               3
Vardas575           Pavarde575          6                 6
Vardas576           Pavarde576          6                 4
Vardas577           Pavarde577          2.4               5
Vardas578           Pavarde578          3                 6
Vardas579           Pavarde579          4.8               6
Vardas580           Pavarde580          1.8               3
Vardas581           Pavarde581          3                 4
Vardas582           Pavarde582          1.2               5
Vardas583           Pavarde583          1.2               5
Vardas584           Pavarde584          4.8               6
Vardas585           Pavarde585          2.4               6
Vardas586           Pavarde586          2.4               5
Vardas587           Pavarde587          5.4               7
Vardas588           Pavarde588          1.2               4
Vardas589           Pavarde589          6                 6
Vardas590           Pavarde590          4.2               3
Vardas591           Pavarde591          4.2               3
Vardas592           Pavarde592          1.8               3
Vardas593           Pavarde593          3.6               3
Vardas594           Pavarde594          1.2               5
Vardas595           Pavarde595          1.2               6
Vardas596           Pavarde596          3                 4
Vardas597           Pavarde597          2.4               7
Vardas598           Pavarde598          2.4               5
Vardas599           Pavarde599          0.6               4
Vardas600           Pavarde600          3                 5
Vardas601           Pavarde601          2.4               7
Vardas602           Pavarde602          1.8               5
Vardas603           Pavarde603          4.2               3
Vardas604           Pavarde604          3.6               5
Vardas605           Pavarde605          2.4               3
Vardas606           Pavarde606          5.4               4
Vardas607           Pavarde607          4.8               5
Vardas608           Pavarde608          3.6               5
Vardas609           Pavarde609          2.4               4
Vardas610           Pavarde610          3                 4
Vardas611           Pavarde611          5.4               5
Vardas612           Pavarde612          1.8               4
Vardas613           Pavarde613          5.4               7
Vardas614           Pavarde614          2.4               5
Vardas615           Pavarde615          1.8               5
Vardas616           Pavarde616          3.6               4
Vardas617           Pavarde617          5.4               4
Vardas618           Pavarde618          1.8               6
Vardas619           Pavarde619          2.4               3
Vardas620           Pavarde620          3.6               4
Vardas621           Pavarde621          1.2               5
Vardas622           Pavarde622          4.8               5
Vardas623           Pavarde623          4.8               6
Vardas624           Pavarde624          5.4               6
Vardas625           Pavarde625          1.2               5
Vardas626           Pavarde626          6                 5
Vardas627           Pavarde627          2.4               5
Vardas628           Pavarde628          3                 5
Vardas629           Pavarde629          3                 4
Vardas630           Pavarde630          6                 6
Vardas631           Pavarde631          0.6               5
Vardas632           Pavarde632          1.8               5
Vardas633           Pavarde633          1.2               6
Vardas634           Pavarde634          4.2               4
Vardas635           Pavarde635          4.8               2
Vardas636           Pavarde636          5.4               3
Vardas637           Pavarde637          0.6               8
Vardas638           Pavarde638          5.4               3
Vardas639           Pavarde639          4.8               5
Vardas640           Pavarde640          3                 4
Vardas641           Pavarde641          1.2               6
Vardas642           Pavarde642          2.4               5
Vardas643           Pavarde643          2.4               3
Vardas644           Pavarde644          1.2               4
Vardas645           Pavarde645          6                 6
Vardas646           Pavarde646          4.8               4
Vardas647           Pavarde647          4.2               6
Vardas648           Pavarde648          1.2               7
Vardas649           Pavarde649          3                 6
Vardas650           Pavarde650          5.4               5
Vardas651           Pavarde651          5.4               6
Vardas652           Pavarde652          4.2               4
Vardas653           Pavarde653          4.8               5
Vardas654           Pavarde654          0.6               5
Vardas655           Pavarde655          3.6               4
Vardas656           Pavarde656          6                 6
Vardas657           Pavarde657          1.8               6
Vardas658           Pavarde658          2.4               7
Vardas659           Pavarde659          1.2               3
Vardas660           Pavarde660          4.2               4
Vardas661           Pavarde661          1.8               4
Vardas662           Pavarde662          6                 4
Vardas663           Pavarde663          4.2               6
Vardas664           Pavarde664          0.6               5
Vardas665           Pavarde665          3                 6
Vardas666           Pavarde666          6                 3
Vardas667           Pavarde667          4.2               5
Vardas668           Pavarde668          6                 5
Vardas669           Pavarde669          2.4               5
Vardas670           Pavarde670          5.4               5
Vardas671           Pavarde671          1.2               6
Vardas672           Pavarde672          0.6               5
Vardas673           Pavarde673          1.2               5
Vardas674           Pavarde674          3.6               3
Vardas675           Pavarde675          5.4               6
Vardas676           Pavarde676          6                 3
Vardas677           Pavarde677          0.6               5
Vardas678           Pavarde678          3.6               5
Vardas679           Pavarde679          6                 5
Vardas680           Pavarde680          2.4               6
Vardas681           Pavarde681          4.2               5
Vardas682           Pavarde682          3.6               2
Vardas683           Pavarde683          3.6               5
Vardas684           Pavarde684          5.4               6
Vardas685           Pavarde685          0.6               6
Vardas686           Pavarde686          4.2               6
Vardas687           Pavarde687          1.8               5
Vardas688           Pavarde688          4.2               5
Vardas689           Pavarde689          0.6               4
Vardas690           Pavarde690          6                 4
Vardas691           Pavarde691          2.4               5
Vardas692           Pavarde692          1.8               6
Vardas693           Pavarde693          4.2               5
Vardas694           Pavarde694          3                 3
Vardas695           Pavarde695          2.4               6
Vardas696           Pavarde696          5.4               7
Vardas697           Pavarde697          5.4               3
Vardas698           Pavarde698          1.2               6
Vardas699           Pavarde699          3                 7
Vardas700           Pavarde700          3                 6
Vardas701           Pavarde701          1.8               5
Vardas702           Pavarde702          5.4               7
Vardas703           Pavarde703          5.4               3
Vardas704           Pavarde704          6                 5
Vardas705           Pavarde705          1.8               5
Vardas706           Pavarde706          4.2               3
Vardas707           Pavarde707          0.6               3
Vardas708           Pavarde708          1.2               6
Vardas709           Pavarde709          3.6               7
Vardas710           Pavarde710          1.8               7
Vardas711           Pavarde711          0.6               6
Vardas712           Pavarde712          5.4               5
Vardas713           Pavarde713          0.6               7
Vardas714           Pavarde714          5.4               6
Vardas715           Pavarde715          6                 6
Vardas716           Pavarde716          1.8               3
Vardas717           Pavarde717          4.8               5
Vardas718           Pavarde718          4.2               6
Vardas719           Pavarde719          2.4               4
Vardas720           Pavarde720          0.6               4
Vardas721           Pavarde721          4.2               7
Vardas722           Pavarde722          0.6               6
Vardas723           Pavarde723          4.8               4
Vardas724           Pavarde724          1.2               4
Vardas725           Pavarde725          1.8               6
Vardas726           Pavarde726          2.4               2
Vardas727           Pavarde727          1.8               7
Vardas728           Pavarde728          1.2               7
Vardas729           Pavarde729          4.8               4
Vardas730           Pavarde730          3                 5
Vardas731           Pavarde731          0.6               5
Vardas732           Pavarde732          3.6               5
Vardas733           Pavarde733          4.8               5
Vardas734           Pavarde734          5.4               6
Vardas735           Pavarde735          1.2               5
Vardas736           Pavarde736          3                 7
Vardas737           Pavarde737          5.4               6
Vardas738           Pavarde738          0.6               4
Vardas739           Pavarde739          4.2               5
Vardas740           Pavarde740          2.4               5
